scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 km,P284-2_22_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.33195623482688696,Treed Bog,ConSWA,0.25768603067775114,Coniferous Swamp,0.589642265504638
1 m,P284-4_24_GRTS_PossibleCaARU_sample_draw_base,MixTRE,1,Mixed Treed,NA,NA,NA,NA
50 m,P284-4_24_GRTS_PossibleCaARU_sample_draw_base,MixTRE,0.6971443838894176,Mixed Treed,ConTRE,0.30285561611058237,Coniferous Treed,1
100 m,P284-4_24_GRTS_PossibleCaARU_sample_draw_base,MixTRE,0.5248999426451121,Mixed Treed,ConTRE,0.43773976957686517,Coniferous Treed,0.9626397122219772
1 km,P284-4_24_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.18366904570317838,Treed Bog,MixTRE,0.1786309224779519,Mixed Treed,0.3622999681811303
1 m,P295-3_55_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
50 m,P295-3_55_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
100 m,P295-3_55_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.9865014925308359,Coniferous Treed,TrFEN,0.0115166080935228,Treed Fen,0.9980181006243587
1 km,P295-3_55_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.24554478119154896,Treed Bog,ConTRE,0.223605199376902,Coniferous Treed,0.4691499805684509
1 m,P302-3_60_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P302-3_60_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.829995982771841,Treed Bog,TrFEN,0.170004017228159,Treed Fen,1
100 m,P302-3_60_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.5762589685648262,Treed Bog,TrFEN,0.4237410314351739,Treed Fen,1
1 km,P302-3_60_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.8555251865850169,Treed Fen,TrBOG,0.12283428881435189,Treed Bog,0.9783594753993687
1 m,P302-8_61_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P302-8_61_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
100 m,P302-8_61_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
1 km,P302-8_61_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.5884537365132327,Treed Fen,TrBOG,0.21784293902981738,Treed Bog,0.8062966755430501
1 m,P311-1_25_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P311-1_25_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.9135231894027439,Treed Fen,WAT,0.08647681059725608,Clear Open Water,1
100 m,P311-1_25_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.743475740476652,Treed Fen,WAT,0.256524259523348,Clear Open Water,1
1 km,P311-1_25_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.7097074635036,Treed Fen,WAT,0.11826630343012241,Clear Open Water,0.8279737669337225
1 m,P311-2_26_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P311-2_26_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.7706918269413361,Treed Fen,TrBOG,0.22930817305866394,Treed Bog,1
100 m,P311-2_26_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.6312469535068936,Treed Fen,TrBOG,0.31343507351513683,Treed Bog,0.9446820270220304
1 km,P311-2_26_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.5149075875194441,Treed Fen,ConSWA,0.22190422431941145,Coniferous Swamp,0.7368118118388556
1 m,P323-3_29_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P323-3_29_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.8149645281520322,Open Bog,TrBOG,0.18503547184796773,Treed Bog,1
100 m,P323-3_29_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.607548103205855,Open Bog,TrBOG,0.3924518967941451,Treed Bog,1
1 km,P323-3_29_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.3451831878858591,Treed Fen,OBOG,0.20285909708303812,Open Bog,0.5480422849688973
1 m,P324-6_101_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
50 m,P324-6_101_GRTS_PossibleCaARU_sample_draw_base,SpTRE,0.4624376524901748,Sparse Treed,ConTRE,0.4379448193012902,Coniferous Treed,0.900382471791465
100 m,P324-6_101_GRTS_PossibleCaARU_sample_draw_base,SpTRE,0.34214607596244617,Sparse Treed,ConTRE,0.3218240377452424,Coniferous Treed,0.6639701137076885
1 km,P324-6_101_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.281238445895175,Open Bog,ConSWA,0.19277712032485672,Coniferous Swamp,0.4740155662200317
1 m,P348-1_30_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
50 m,P348-1_30_GRTS_PossibleCaARU_sample_draw_base,WAT,0.4526191901564311,Clear Open Water,ConTRE,0.3393439446197643,Coniferous Treed,0.7919631347761954
100 m,P348-1_30_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.53796843990094,Coniferous Treed,WAT,0.2641867194461706,Clear Open Water,0.8021551593471106
1 km,P348-1_30_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.5687833097783098,Treed Fen,ConSWA,0.2809063320250177,Coniferous Swamp,0.8496896418033275
1 m,P348-2_31_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,P348-2_31_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
100 m,P348-2_31_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.9733945900935126,Coniferous Swamp,TrFEN,0.026605409906487416,Treed Fen,1
1 km,P348-2_31_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.4894500863499506,Treed Fen,ConSWA,0.4228841068414847,Coniferous Swamp,0.9123341931914353
1 m,P348-3_32_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P348-3_32_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
100 m,P348-3_32_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.974921748020706,Treed Fen,ConSWA,0.02507825197929408,Coniferous Swamp,1
1 km,P348-3_32_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.5140012074978193,Treed Fen,ConSWA,0.40568666444634816,Coniferous Swamp,0.9196878719441675
1 m,P349-4_37_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P349-4_37_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
100 m,P349-4_37_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
1 km,P349-4_37_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.9487543695686047,Treed Fen,WAT,0.015703740297569754,Clear Open Water,0.9644581098661744
1 m,P362-1_38_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P362-1_38_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.999742646632944,Treed Fen,WAT,2.5735336705602044e-4,Clear Open Water,1
100 m,P362-1_38_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.7904652376130165,Treed Fen,WAT,0.18190327375198312,Clear Open Water,0.9723685113649996
1 km,P362-1_38_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.2876967376826992,Treed Fen,TrBOG,0.23801122589854584,Treed Bog,0.525707963581245
1 m,Q618-1_42_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
50 m,Q618-1_42_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
100 m,Q618-1_42_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.9893168430952137,Coniferous Treed,TrBOG,0.010683156904786256,Treed Bog,1
1 km,Q618-1_42_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.5710635704856195,Coniferous Treed,ConSWA,0.21297359331069174,Coniferous Swamp,0.7840371637963113
1 m,Q618-2_43_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,Q618-2_43_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
100 m,Q618-2_43_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.9308846631851542,Coniferous Swamp,WAT,0.06911533681484582,Clear Open Water,1
1 km,Q618-2_43_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.37515805724076845,Coniferous Swamp,TrBOG,0.3051129978370093,Treed Bog,0.6802710550777777
1 m,Q619-1_131_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,Q619-1_131_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.8556578724874464,Treed Bog,ConSWA,0.1443421275125536,Coniferous Swamp,1
100 m,Q619-1_131_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.7764533955917398,Treed Bog,ConSWA,0.2235466044082603,Coniferous Swamp,1
1 km,Q619-1_131_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.3864644283670498,Treed Bog,ConSWA,0.18219050542007456,Coniferous Swamp,0.5686549337871244
1 m,Q619-3_133_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,Q619-3_133_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.9905908612018834,Treed Bog,ConSWA,0.009409138798116574,Coniferous Swamp,1
100 m,Q619-3_133_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.8411816878241943,Treed Bog,ConSWA,0.15881831217580572,Coniferous Swamp,1
1 km,Q619-3_133_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.3990976543837545,Treed Bog,ConSWA,0.2676438353001541,Coniferous Swamp,0.6667414896839086
1 m,Q624-4_150_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,Q624-4_150_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.7485945871168274,Treed Bog,OBOG,0.25140541288317264,Open Bog,1
