scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
100 m,12_P245-4_2025_peat_sites_1028,TrFEN,0.6312051339626574,Treed Fen,ConSWA,0.3038976092853999,Coniferous Swamp,0.9351027432480573
1 km,12_P245-4_2025_peat_sites_1028,ConSWA,0.3436591979401593,Coniferous Swamp,TrBOG,0.2868600783245772,Treed Bog,0.6305192762647365
1 m,130_P145-4_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,130_P145-4_2025_peat_sites_1028,TrBOG,0.6933407862974997,Treed Bog,OBOG,0.30665921370250027,Open Bog,1
100 m,130_P145-4_2025_peat_sites_1028,TrBOG,0.557155874075616,Treed Bog,OBOG,0.44284412592438405,Open Bog,1
1 km,130_P145-4_2025_peat_sites_1028,OBOG,0.7050566158176483,Open Bog,TrBOG,0.25149904517581456,Treed Bog,0.9565556609934629
1 m,131_Q619-1_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,131_Q619-1_2025_peat_sites_1028,TrBOG,0.8556578734121352,Treed Bog,ConSWA,0.14434212658786486,Coniferous Swamp,1
100 m,131_Q619-1_2025_peat_sites_1028,TrBOG,0.7764533920673202,Treed Bog,ConSWA,0.2235466079326798,Coniferous Swamp,1
1 km,131_Q619-1_2025_peat_sites_1028,TrBOG,0.3864644281046414,Treed Bog,ConSWA,0.1821905053341049,Coniferous Swamp,0.5686549334387463
1 m,132_Q619-2_2025_peat_sites_1028,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,132_Q619-2_2025_peat_sites_1028,ConSWA,0.8394991290547821,Coniferous Swamp,TrBOG,0.16050087094521795,Treed Bog,1
100 m,132_Q619-2_2025_peat_sites_1028,ConSWA,0.7317713466705521,Coniferous Swamp,TrBOG,0.2682286533294479,Treed Bog,1
1 km,132_Q619-2_2025_peat_sites_1028,TrBOG,0.43160554126002004,Treed Bog,ConSWA,0.24336827050971263,Coniferous Swamp,0.6749738117697327
1 m,133_Q619-3_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,133_Q619-3_2025_peat_sites_1028,TrBOG,0.9905908518655729,Treed Bog,ConSWA,0.00940914813442701,Coniferous Swamp,1
100 m,133_Q619-3_2025_peat_sites_1028,TrBOG,0.8411816663666055,Treed Bog,ConSWA,0.15881833363339445,Coniferous Swamp,1
